TargetTitle	Length	ratio	Source place	Target place	Analysis text	Target text
doyle_baskervilles_3_u	30	0.9333333333333333	5918	4249	 shrugged his shoulders. “I wo	 shrugged his shoulders. “I ha
stoker_dracula_23_g	30	0.9666666666666667	16831	7387	 We were silent for a minute o	 We were silent for a minute, 
collins_moonstone_58_d	35	0.9142857142857143	16846	14365	 for a minute or two, and then, gla	 for a minute or two, and then he a
christie_styles_10_d	51	0.9019607843137255	329	10061	 me that it would be a good opportunity to deliver 	 me that it would be a good opportunity to tackle h
christie_styles_10_d	33	0.9090909090909091	1590	11150	 don’t know anything about the co	 don’t know anything about me, do
christie_styles_10_d	35	1.0	5909	3311	?” Poirot shrugged his shoulders. “	?” Poirot shrugged his shoulders. “
christie_styles_10_d	30	0.9	7099	24042	 Mary Cavendish were standing 	 Mary Cavendish was standing i
christie_styles_10_d	31	0.967741935483871	11758	14747	 that Dr. Bauerstein had been a	 that Dr. Bauerstein has been a
christie_styles_10_d	30	0.9666666666666667	21244	2527	 go down to the village, and l	 go down to the village, and s
lewis_monk_9_g	30	0.9	16220	13954	 passed through the little gat	 passed through the little Clo
christie_styles_13_d	33	0.9090909090909091	1265	22383	 “What on earth does he mean?” La	 “What on earth does this mean?” 
christie_styles_13_d	30	0.9	4847	18384	Mademoiselle Cynthia was not a	Mademoiselle Cynthia was in lo
christie_styles_13_d	32	0.96875	11497	16875	ed. “Impossible!” “Not at all.” 	ed. “Impossible!” “Not at all. I
christie_styles_13_d	31	0.967741935483871	14545	2203	 the crime had been committed? 	 the crime had been committed, 
stoker_dracula_18_g	32	0.9375	9484	26595	 he took it for granted that I h	 he took it for granted that his
doyle_adventures_12_d	30	0.9333333333333333	5877	28135	 the other side of the room. W	 the other side of the room, b
doyle_baskervilles_12_u	30	0.9	5918	21469	 shrugged his shoulders. “I wo	 shrugged his shoulders. “One 
christie_styles_6_d	36	0.9444444444444444	3665	3596	 entered Mrs. Inglethorp’s room, whe	 entered Mrs. Inglethorp’s room. She
christie_styles_6_d	30	0.9333333333333333	11930	19705	 down the coffee in the hall? 	 down the coffee on the hall t
christie_styles_6_d	34	0.9117647058823529	13896	17992	 drew a deep breath of relief, for	 drew a deep breath of relief. “Yo
collins_moonstone_56_d	32	0.96875	2287	11403	 shook his head. “No,” he said m	 shook his head. “No,” he said, 
